"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pigmentiphaga sp. CHJ604",39.28404670479,9.11149917581348,2.95022096136179,3.08841245965784,0.00201228969215573,0.00897481202701455
"Pseudophaeobacter sp. TrK17",17.1997313714568,7.79185975527696,2.56712661878695,3.03524559258353,0.0024033989202321,0.0106130288952824
"Campylobacter lari",16.6534453126064,7.82103319168673,2.58933071678005,3.02048445994281,0.00252370658376062,0.0110350307486003
"Nocardioides sp. DN36",103.882984257347,7.9136531729145,2.63084831918781,3.00802334942578,0.00262952933906287,0.0113861173322528
"Akanthomyces muscarius",3442.59027512312,5.93847590209647,2.00774948127502,2.957777331027,0.00309865870180007,0.0132884786634888
"Actinomyces sp. Chiba101",188.822215763186,6.99156887923702,2.38238884066224,2.93468839339154,0.0033388280008032,0.0141820694129355
"Geothrix sp.",32.8317024852174,8.49713332259123,2.90027594296709,2.92976719790957,0.00339216035436486,0.014272674698554
"Pectobacterium brasiliense",23.2257916984235,-7.58395541909209,2.61245526812278,-2.90299914859084,0.00369607641924805,0.0154060755419124
"Botrytis cinerea",37.4069519456343,-8.43662307994672,2.9691762937544,-2.84140187219364,0.00449156723254055,0.018548509126973
"Kwoniella botswanensis",158.435670727356,-7.71704973082236,2.71947360129783,-2.8376998133534,0.00454398955876393,0.0185928380110891
"Nocardioides scoriae",33.7486842161882,8.41955830838787,2.99021297789662,2.81570522589008,0.00486703004211487,0.019733594534393
"Paenisporosarcina cavernae",22.1551915849091,8.03767984761522,2.87534097266967,2.79538319942364,0.00518382297034867,0.0208286940970766
"Leishmania major",32.0728493514009,-8.06963231318986,2.89801376497215,-2.78453898691796,0.00536038764597986,0.0211766638571258
"Lactococcus garvieae",20.9920894347514,8.00939135103045,2.87669206661615,2.78423660425076,0.0053653879279265,0.0211766638571258
"Clostridium intestinale",18.1202996351049,7.97321596915989,2.90835897442722,2.7414827534246,0.00611625715575688,0.0239285148374348
"Intrasporangium calvum",25.5380396643965,-7.79235415416032,2.92354403238665,-2.66537943941929,0.00769014998582716,0.0296137101426156
"Lodderomyces beijingensis",90.6812765870553,-5.13019613992607,1.92513358686561,-2.66485202633588,0.00770222057520945,0.0296137101426156
"Robiginitalea biformata",14.1874952697267,7.56938294194534,2.86806570126366,2.63919440151259,0.00831033108970656,0.031678698000078
"Streptomyces sp. NBC_01006",49.1810442988681,7.85964292033672,2.98620333544576,2.63198517898765,0.00848875658925874,0.0320846223627915
"Stappia sp.",16.1458401274701,7.85627055363906,3.02386349548061,2.59809034547388,0.00937438257522973,0.0351342405760711
"Nocardioides sp. Kera G14",15.0449873915062,7.75416898763972,3.02402275336844,2.56419002767171,0.0103416907041328,0.0384366171170271
"Fusarium oxysporum",370.445566761366,6.81201202309458,2.6658164970202,2.55531917921166,0.0106090466131265,0.0391044197475573
"Tundrisphaera macrotermitis",13.0267573755724,7.54585916062666,3.02438474878177,2.49500635250397,0.012595487523229,0.0460457986504928
"Mycobacterium colombiense",11.9259046396086,7.41813236395667,3.02463393317189,2.45257195675821,0.0141839007700818,0.0514310548248494
"Aurivirus haliotidmalaco1",12.7311838266598,6.86817499785459,2.80751738042703,2.44635172901758,0.0144310140481626,0.0519050989151655
"Roseimaritima multifibrata",12.0498873610023,-6.00680295491678,2.48389031040105,-2.41830443549133,0.0155930248620319,0.0556359127077299
"Mycolicibacterium rutilum",137.074522899575,-7.18481926225497,2.97605755265925,-2.41420709617493,0.0157694963220397,0.0558190107907118
"Aquipluma nitroreducens",64.0722349516633,5.0482425114902,2.09711684252801,2.40722996883888,0.0160740444224644,0.056449006397001
